system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,QA60
"Jan 7, 2017","10,191","1,934","2,222","9,910","9,587","9,863","10,061","10,047","10,102","9,880","10,001","1,024"
"Jan 27, 2017","1,439",215,135,"1,324","1,491","1,959","2,034","1,892","2,082","1,801","1,790",0
"Feb 6, 2017","1,331",163,92,"1,209","1,362","1,712","1,710","1,398","1,541","1,258","1,195",0
"Feb 16, 2017","1,322",230,125,"1,260","1,448","1,792","1,666","1,380","1,522","1,191","1,166",0
"Mar 8, 2017","1,413",203,116,"1,290","1,453","1,858","1,823","1,704","1,952","1,584","1,643",0
"Mar 28, 2017","1,410",162,102,"1,304","1,433","1,883","1,837","1,686","1,911","1,618","1,641",0
"Apr 17, 2017","1,697",458,368,"1,514","1,615","2,042","2,027","1,858","2,052","1,816","1,733",0
"May 7, 2017","1,561",531,383,"1,294","1,051",972,950,961,"1,040",978,953,"2,048"
"May 27, 2017","9,297","4,513","4,026","9,214","8,634","9,152","8,925","9,140","9,442","8,970","9,549","1,024"
"Jun 16, 2017","1,845","1,097",794,"1,572","1,368","1,281","1,335","1,515","1,630","1,558","1,667","2,048"
"Jul 1, 2017","1,867",701,611,"1,588","1,193","1,127","1,119","1,174","1,219","1,093","1,221","2,048"
"Jul 6, 2017","5,822","4,424","3,758","5,942","5,578","5,886","6,047","6,144","6,293","6,181","6,311","1,024"
"Jul 21, 2017","1,300",156,91,"1,021",800,802,785,570,579,503,446,0
"Jul 26, 2017","1,330",218,128,"1,045",857,871,833,634,670,541,532,0
"Aug 10, 2017","1,578",258,119,"1,278","1,067","1,001",939,813,883,689,688,0
"Aug 15, 2017","1,161",133,112,919,819,860,794,508,519,404,353,0
"Aug 30, 2017","7,130","6,436","5,079","7,322","6,949","7,370","7,277","7,416","7,731","7,437","7,828","1,024"
"Sep 4, 2017","5,376","3,126","2,733","5,017","4,557","4,621","4,346","4,646","5,172","4,715","5,575","1,024"
"Sep 19, 2017","1,223",190,116,974,903,838,784,558,634,482,482,0
"Sep 24, 2017","4,253","4,499","3,883","3,897","3,721","3,934","4,004","4,623","5,030","4,450","5,307","1,024"
"Oct 14, 2017","1,430",613,459,986,832,683,719,946,"1,174",671,"1,272","1,024"
"Oct 29, 2017","5,350","3,896","3,335","5,010","4,707","4,954","4,929","5,351","5,661","5,283","5,847","1,024"
"Nov 3, 2017","10,269","5,870","3,998","9,062","9,736","10,132","10,235","10,500","10,974","9,613","10,933","1,024"
"Nov 18, 2017","1,421",779,561,"1,284","1,238","1,313","1,284","1,203","1,271","1,120","1,197",0
"Nov 28, 2017","1,365",488,371,"1,143","1,143","1,172","1,085",841,882,734,772,0
"Dec 8, 2017","1,203",236,140,984,963,984,920,616,670,495,505,0
"Dec 13, 2017","1,406",637,491,"1,262","1,237","1,336","1,298","1,049","1,123",861,980,0
"Dec 18, 2017","1,316",301,194,"1,098","1,161","1,365","1,319",909,"1,015",793,796,0
"Dec 28, 2017","6,399","3,393","3,153","5,826","5,905","6,261","6,320","6,437","6,569","6,188","6,646","1,024"
"Jan 2, 2018","2,357","2,474","1,871","1,902","2,053","2,325","2,442","3,117","3,656","2,886","3,825",0
"Jan 7, 2018","1,487",427,318,"1,334","1,463","1,852","1,925","1,714","1,837","1,531","1,532",0
"Jan 17, 2018","2,680","2,316","1,600","1,929","2,163","2,414","2,483","2,932","3,481","2,805","3,776",0
"Jan 22, 2018","7,249","4,727","3,163","6,935","6,578","6,669","6,279","6,597","7,024","6,377","7,135","1,024"
"Jan 27, 2018","1,174",92,54,942,840,931,882,635,724,536,518,0
"Feb 6, 2018","1,166",133,78,"1,044","1,105","1,367","1,165",887,"1,010",887,719,0
"Feb 11, 2018","1,578",568,350,"1,453","1,462","1,694","1,583","1,425","1,617","1,552","1,325",0
"Feb 16, 2018","1,273",179,112,"1,177","1,311","1,632","1,539","1,268","1,455","1,182","1,101",0
"Feb 21, 2018","1,663",665,503,"1,513","1,553","1,751","1,802","1,834","2,065","1,826","1,902","2,048"
"Feb 26, 2018","1,438",234,146,"1,328","1,459","1,869","1,822","1,577","1,785","1,475","1,441",0
"Mar 3, 2018","1,460",235,147,"1,342","1,465","1,873","1,815","1,658","1,870","1,496","1,527",0
"Mar 8, 2018","1,355",211,125,"1,197","1,348","1,749","1,744","1,496","1,656","1,389","1,335",0
"Mar 13, 2018","7,241","5,746","3,418","7,419","7,216","8,001","8,082","8,262","8,350","8,018","8,250","1,024"
"Mar 18, 2018","1,304",166,94,"1,192","1,370","1,800","1,710","1,520","1,752","1,430","1,457",0
"Mar 23, 2018","4,280","3,932","3,432","3,960","3,693","3,952","3,975","4,357","4,822","4,372","5,052","1,024"
"Mar 28, 2018","1,312",143,72,"1,220","1,339","1,760","1,694","1,486","1,661","1,344","1,309",0
"Apr 2, 2018","4,143","1,839","1,828","4,036","3,814","3,854","3,986","4,399","4,624","4,528","4,707","1,024"
"Apr 7, 2018","1,391",144,77,"1,287","1,450","1,816","1,767","1,529","1,704","1,386","1,389",0
"Apr 12, 2018","1,318",139,94,"1,171","1,275","1,594","1,536","1,267","1,415","1,164","1,146",0
"Apr 17, 2018","1,321",135,82,"1,200","1,347","1,720","1,649","1,359","1,516","1,214","1,169",0
"Apr 22, 2018","1,392",155,87,"1,259","1,406","1,833","1,779","1,634","1,817","1,514","1,546",0
"Apr 27, 2018","2,824","1,690","1,312","2,812","2,697","2,723","2,778","3,150","3,475","3,374","3,446","2,048"
"May 2, 2018","1,374",175,112,"1,216","1,298","1,628","1,587","1,288","1,422","1,164","1,068",0
"May 7, 2018","1,599",803,586,"1,290","1,149","1,080","1,082","1,289","1,523","1,288","1,510",0
"May 12, 2018","1,347",124,58,"1,202","1,306","1,659","1,690","1,398","1,504","1,269","1,110",0
"May 17, 2018","3,570","3,593","2,747","3,484","3,262","3,398","3,381","3,936","4,344","3,989","4,596","1,024"
"May 22, 2018","1,324",115,74,"1,060","1,012","1,210","1,168",998,"1,079",959,826,0
"Jun 1, 2018","7,908","6,510","5,200","7,941","7,450","7,968","7,824","8,077","8,347","7,745","8,408","1,024"
"Jun 6, 2018","1,252",140,65,"1,025",980,"1,150","1,096",756,806,672,546,0
"Jun 11, 2018","6,463","5,092","3,422","6,363","6,032","6,362","6,076","6,364","6,800","6,088","6,973","1,024"
"Jun 16, 2018","1,275",137,70,"1,058",964,"1,074","1,043",703,695,581,498,0
"Jun 21, 2018","6,662","5,704","4,548","6,484","6,352","6,813","6,996","7,092","7,183","7,059","7,206","1,024"
"Jun 26, 2018","1,240",133,76,990,872,915,864,593,617,486,475,0
"Jul 1, 2018","5,159","4,269","3,914","4,856","4,610","4,909","5,026","5,313","5,525","5,244","5,598","1,024"
"Jul 6, 2018","5,271","4,071","3,534","4,807","4,577","4,811","4,836","5,004","5,269","4,860","5,392","1,024"
"Jul 11, 2018","2,751","1,774","1,555","2,108","2,067","2,138","2,353","2,651","2,802","2,369","2,883","2,048"
"Jul 16, 2018","2,251","2,237","1,584","2,142","1,872","1,777","1,766","2,003","2,271","2,254","2,311",0
"Jul 21, 2018","1,241",154,120,"1,019",932,984,905,583,595,516,439,0
"Jul 26, 2018","2,989","3,141","2,595","2,584","2,393","2,513","2,738","3,199","3,480","3,128","3,677",0
"Jul 31, 2018","1,267",180,154,997,899,880,807,521,524,488,448,0
"Aug 5, 2018","1,184",147,93,927,830,823,721,446,459,375,339,0
"Aug 10, 2018","2,798","3,218","2,536","2,851","2,640","2,625","2,969","3,390","3,594","3,600","3,692","2,048"
"Aug 15, 2018","1,241",188,124,"1,002",894,859,772,537,555,448,404,0
"Aug 20, 2018","8,094","3,373","3,491","8,090","7,415","7,701","7,797","7,901","7,981","7,964","7,951","1,024"
"Aug 25, 2018","1,174",164,110,947,899,884,788,477,485,396,371,0
"Aug 30, 2018","1,632",311,207,"1,330","1,140","1,013",919,809,863,716,762,0
"Sep 4, 2018","1,126",165,116,904,830,769,679,403,422,346,318,0
"Sep 9, 2018","1,263",217,158,"1,008",892,793,703,518,535,432,433,0
"Sep 14, 2018","6,965","5,670","4,223","6,928","6,708","7,184","7,343","7,509","7,683","7,509","7,807","1,024"
"Sep 19, 2018","3,039","1,861","1,615","2,914","2,657","2,587","2,679","2,925","3,075","3,060","3,178","1,024"
"Sep 24, 2018","3,239","1,443","1,258","3,030","2,801","2,752","2,848","3,108","3,306","3,200","3,390","1,024"
"Sep 29, 2018","1,358",234,133,"1,103",988,906,795,680,730,571,592,0
"Oct 4, 2018","2,813","1,090",953,"2,574","2,348","2,288","2,373","2,691","2,851","2,778","2,902","1,024"
"Oct 9, 2018","5,033","2,521","2,387","4,846","4,547","4,631","4,670","5,097","5,396","5,104","5,509","1,024"
"Oct 14, 2018","2,921","2,868","2,320","2,490","2,445","2,492","2,618","3,327","3,684","3,417","3,902",0
"Oct 19, 2018","4,385","4,058","3,395","4,075","3,879","4,012","4,105","4,705","5,073","4,720","5,300","1,024"
"Oct 24, 2018","1,135",303,172,894,788,749,691,598,659,537,546,0
"Oct 29, 2018","1,133",274,205,981,879,862,731,582,652,579,533,0
"Nov 3, 2018","8,427","1,947","2,024","8,467","7,997","8,247","8,048","7,994","8,113","7,992","7,968","1,024"
"Nov 8, 2018","1,280",345,260,"1,091","1,092","1,259","1,163",860,982,767,756,0
"Nov 13, 2018","5,228","4,353","3,244","5,141","4,903","4,979","4,774","5,189","5,712","5,216","5,904","1,024"
"Nov 18, 2018","3,956","3,553","3,163","3,609","3,556","3,506","3,745","4,326","4,605","4,420","4,697","1,024"
"Nov 23, 2018","9,143","4,341","2,487","9,043","8,632","9,059","8,586","8,757","9,332","8,551","9,480","1,024"
"Nov 28, 2018","7,655","3,713","2,696","7,531","7,144","7,368","7,051","7,386","7,833","7,128","7,976","1,024"
"Dec 3, 2018","1,086",188,93,841,745,758,722,531,580,469,438,0
"Dec 8, 2018","1,698",755,616,"1,517","1,646","2,027","2,094","1,728","1,890","1,591","1,548",0
"Dec 13, 2018","1,287",225,142,"1,094","1,075","1,331","1,330","1,096","1,295","1,003",973,0
"Dec 18, 2018","8,293","4,029","2,582","8,221","7,730","8,006","7,769","8,048","8,361","7,925","8,433","1,024"
"Dec 23, 2018","1,227",259,156,"1,044","1,102","1,332","1,314",936,"1,056",835,799,0
"Dec 28, 2018","10,613","2,351","3,060","10,575","10,285","10,576","10,728","10,608","10,554","10,514","10,299","1,024"
"Jan 2, 2019","1,346",371,212,"1,157","1,186","1,434","1,415","1,347","1,585","1,225","1,332",0
"Jan 7, 2019","5,145","1,725","1,796","4,922","4,653","4,725","4,801","5,045","5,204","5,030","5,237","1,024"
"Jan 12, 2019","1,401",286,163,"1,202","1,221","1,432","1,379","1,275","1,512","1,210","1,240",0
"Jan 17, 2019","1,474",436,311,"1,438","1,591","2,051","1,903","1,751","1,989","1,645","1,696",0
"Jan 22, 2019","1,367",298,181,"1,198","1,223","1,506","1,371","1,240","1,440","1,266","1,211",0
"Jan 27, 2019","1,437",399,245,"1,229","1,235","1,425","1,408","1,406","1,616","1,280","1,356",0
"Feb 1, 2019","4,757","5,114","4,188","4,876","4,730","4,883","4,920","5,446","5,847","5,672","6,129","1,024"
"Feb 6, 2019","1,338",202,142,"1,195","1,280","1,654","1,667","1,498","1,606","1,372","1,298",0
"Feb 11, 2019","1,461",192,99,"1,257","1,328","1,692","1,652","1,467","1,734","1,341","1,399",0
"Feb 16, 2019","1,369",207,129,"1,339","1,515","1,985","1,902","1,771","1,971","1,717","1,652",0
"Feb 21, 2019","1,294",195,113,"1,146","1,251","1,602","1,542","1,359","1,532","1,288","1,259",0
"Feb 26, 2019","3,064","2,928","2,056","3,212","3,090","3,177","3,121","3,675","3,940","3,864","4,025","1,024"
"Mar 3, 2019","1,377",267,165,"1,262","1,374","1,688","1,677","1,510","1,676","1,411","1,387",0
"Mar 8, 2019","9,171","1,832","2,196","9,069","8,595","8,984","9,065","9,087","9,146","9,013","9,044","1,024"
"Mar 13, 2019","1,279",152,83,"1,181","1,313","1,724","1,611","1,281","1,450","1,193","1,074",0
"Mar 18, 2019","1,580",284,166,"1,455","1,539","1,889","1,921","1,845","2,066","1,838","1,756",0
"Mar 23, 2019","1,301",153,81,"1,172","1,270","1,639","1,619","1,395","1,535","1,357","1,225",0
"Mar 28, 2019","1,326",157,104,"1,094","1,083","1,313","1,340","1,248","1,390","1,067","1,162",0
"Apr 2, 2019","4,492","1,870","1,668","4,159","3,955","4,063","4,112","4,497","4,864","4,536","4,998","1,024"
"Apr 7, 2019","1,332",195,112,"1,200","1,294","1,700","1,725","1,532","1,693","1,457","1,368",0
"Apr 12, 2019","1,287",140,80,"1,154","1,258","1,652","1,697","1,441","1,538","1,335","1,239",0
"Apr 17, 2019","3,946","4,396","3,797","3,781","3,615","3,840","4,337","4,728","5,014","4,471","5,195","1,024"
"Apr 22, 2019","7,082","5,690","3,802","7,037","6,700","7,055","6,593","6,858","7,499","6,599","7,688","1,024"
"Apr 27, 2019","8,384","1,658","1,818","8,273","7,816","8,097","8,218","8,261","8,348","8,240","8,276","1,024"
"May 2, 2019","1,235",100,43,"1,073","1,074","1,379","1,359","1,098","1,224","1,010",937,0
"May 7, 2019","6,304","4,751","3,557","5,863","5,608","5,889","5,652","6,011","6,367","5,803","6,466","1,024"
"May 12, 2019","6,958","1,694","1,770","6,675","6,333","6,582","6,598","6,764","6,911","6,655","7,056","1,024"
"May 17, 2019","1,252",182,101,996,854,913,901,717,771,617,592,0
"May 22, 2019","4,203","2,686","1,527","4,474","3,849","3,708","3,571","3,613","3,765","3,979","3,746","1,024"
"May 27, 2019","7,309","3,766","3,373","6,894","6,600","7,134","7,101","7,214","7,448","6,850","7,499","1,024"
"Jun 1, 2019","6,738","3,450","1,986","6,498","5,938","6,160","6,105","6,183","6,411","5,955","6,471","1,024"
"Jun 6, 2019","1,232",163,104,955,796,822,810,610,626,549,503,0
"Jun 11, 2019","2,224",919,568,"1,892","1,558","1,401","1,374","1,381","1,479","1,468","1,390",0
"Jun 16, 2019","6,219","2,771","2,612","6,181","5,736","5,985","5,801","5,991","6,281","5,915","6,370","1,024"
"Jun 21, 2019","1,357",272,165,"1,072",862,827,786,666,717,623,592,0
"Jun 26, 2019","1,216",134,95,952,794,843,874,629,658,564,498,0
"Jul 1, 2019","4,574","3,982","3,105","4,248","4,570","5,153","5,227","5,246","5,223","5,013","4,964","1,024"
"Jul 6, 2019","1,204",138,78,927,765,788,812,564,587,491,391,0
"Jul 11, 2019","5,008","4,535","3,873","5,195","4,610","4,597","4,658","4,823","4,900","5,345","5,025","1,024"
"Jul 16, 2019","1,408",325,260,"1,053",880,911,920,726,789,648,719,0
"Jul 21, 2019","1,365",216,117,"1,088",920,900,886,724,796,595,637,0
"Jul 26, 2019","6,088","3,864","2,649","5,607","5,174","5,432","5,354","5,583","5,810","5,356","5,925","1,024"
"Jul 31, 2019","1,227",145,87,958,802,822,769,542,579,439,438,0
"Aug 5, 2019","1,217",149,132,957,815,831,816,542,576,486,432,0
"Aug 10, 2019","1,686","2,212","1,725","1,540","1,500","1,551","1,743","2,022","2,276","2,133","2,394",0
"Aug 15, 2019","1,566",364,252,"1,272","1,101","1,065","1,072",936,983,852,800,0
"Aug 20, 2019","1,263",277,224,"1,022",905,973,948,670,736,589,614,0
"Aug 25, 2019","1,763",393,234,"1,469","1,269","1,190","1,160","1,106","1,164",973,"1,020",0
"Aug 30, 2019","1,542",313,178,"1,260","1,102","1,093","1,046",927,999,805,815,0
"Sep 4, 2019","1,353",248,162,"1,096",990,962,924,721,755,614,558,0
"Sep 9, 2019","2,347","1,203",714,"2,457","1,915","1,462","1,500","1,415","1,443","2,067","1,311","1,024"
"Sep 14, 2019","1,575",779,623,"1,189","1,043",979,"1,032","1,190","1,376","1,041","1,502",0
"Sep 19, 2019","4,782","5,372","4,549","5,123","4,970","5,126","5,203","5,406","5,501","5,859","5,524","1,024"
"Sep 24, 2019","6,142","5,912","4,878","6,143","5,901","6,217","6,365","6,699","6,948","6,695","7,013","1,024"
"Sep 29, 2019","1,337",277,183,"1,067",981,904,829,639,683,543,589,0
"Oct 4, 2019","8,248","6,320","4,751","8,064","7,818","8,208","7,897","8,173","8,650","7,977","8,826","1,024"
"Oct 9, 2019","1,305",343,253,"1,064","1,050","1,010",910,650,684,569,568,0
"Oct 14, 2019","6,463","4,393","3,134","6,381","5,950","6,139","5,760","6,091","6,570","5,934","6,778","1,024"
"Oct 19, 2019","4,718","3,205","2,456","4,928","4,508","4,228","4,216","4,443","4,674","4,910","4,818","1,024"
"Oct 24, 2019","1,465",527,419,"1,264","1,267","1,270","1,131",857,929,808,814,0
"Oct 29, 2019","1,355",268,147,"1,127","1,086","1,018",907,723,774,602,567,0
"Nov 3, 2019","7,978","2,070","2,374","7,760","7,444","7,675","7,807","7,913","8,061","7,843","8,017","1,024"
"Nov 8, 2019","3,605","3,421","2,861","2,628","2,948","3,272","3,316","3,961","4,376","3,533","4,528",0
"Nov 13, 2019","8,875","1,709","1,904","8,698","8,315","8,577","8,581","8,704","8,853","8,585","8,859","1,024"
"Nov 18, 2019","1,347",449,397,"1,049","1,011",998,985,812,968,673,928,0
"Nov 23, 2019","2,048","1,522","1,127","1,723","1,731","1,723","1,795","2,187","2,519","2,009","2,598","2,048"
"Nov 28, 2019","1,632",902,712,"1,590","1,642","1,739","1,632","1,331","1,426","1,266","1,273",0
"Dec 3, 2019","1,280",249,157,"1,070","1,075","1,072","1,057",852,935,673,670,0
"Dec 8, 2019","1,754","1,212",925,"1,772","1,859","1,942","1,860","1,685","1,833","1,653","1,739",0
"Dec 13, 2019","1,501",626,458,"1,422","1,480","1,599","1,462","1,268","1,428","1,174","1,199",0
"Dec 18, 2019","1,359",250,150,"1,192","1,309","1,612","1,600","1,251","1,382","1,095",987,0
"Dec 23, 2019","1,316",213,141,"1,160","1,291","1,609","1,631","1,258","1,374","1,113",961,0
"Dec 28, 2019","1,479",668,471,"1,531","1,678","2,024","1,839","1,589","1,766","1,472","1,558",0
"Jan 2, 2020","1,515",615,442,"1,446","1,590","1,917","1,854","1,550","1,690","1,358","1,440",0
"Jan 7, 2020","1,472",692,504,"1,355","1,400","1,573","1,531","1,300","1,483","1,223","1,244",0
"Jan 12, 2020","1,931","1,921","1,216","1,639","1,771","1,915","2,033","2,666","3,158","2,451","3,193",0
"Jan 17, 2020","1,669",952,654,"1,560","1,705","2,052","2,044","1,987","2,272","2,110","2,044",0
"Jan 22, 2020","2,660","2,135","1,474","2,519","2,333","2,266","2,198","2,831","3,253","3,000","3,332","1,024"
"Jan 27, 2020","3,625","1,773","1,607","3,381","3,229","3,193","3,365","3,906","4,272","4,053","4,422","1,024"
"Feb 1, 2020","2,995","3,114","2,736","1,851","2,114","2,180","2,619","3,770","4,402","3,354","4,715",0
"Feb 6, 2020","1,803","1,189",775,"1,612","1,705","1,908","1,841","2,069","2,338","1,992","2,262",0
"Feb 11, 2020","1,402",236,155,"1,275","1,435","1,828","1,829","1,626","1,824","1,550","1,521",0
"Feb 16, 2020","1,525",447,239,"1,405","1,653","2,100","2,002","2,011","2,425","1,922","2,147",0
"Feb 21, 2020","3,425","3,345","2,757","3,224","3,149","3,072","3,336","4,104","4,445","4,298","4,603","1,024"
"Feb 26, 2020","1,341",161,87,"1,203","1,395","1,882","1,937","1,741","1,936","1,698","1,631",0
"Mar 2, 2020","1,368",199,105,"1,280","1,441","1,941","1,974","1,822","1,978","1,776","1,717",0
"Mar 7, 2020","1,507",242,118,"1,352","1,439","1,790","1,811","1,758","1,980","1,705","1,715",0
"Mar 12, 2020","1,615",304,169,"1,437","1,489","1,799","1,793","1,852","2,083","1,753","1,815",0
"Mar 17, 2020","1,558",273,133,"1,389","1,449","1,757","1,710","1,691","1,932","1,570","1,684",0
"Mar 22, 2020","1,351",179,96,"1,252","1,424","1,842","1,857","1,565","1,719","1,438","1,309",0
"Mar 27, 2020","7,410","1,939","2,031","7,234","6,858","7,158","7,186","7,286","7,433","7,236","7,482","1,024"
"Apr 1, 2020","1,602",595,348,"1,481","1,546","1,806","1,776","1,837","2,108","1,824","1,905","2,048"
"Apr 6, 2020","1,467",171,93,"1,359","1,499","1,914","1,867","1,785","2,008","1,682","1,779",0
"Apr 11, 2020","1,416",173,102,"1,343","1,516","2,001","2,066","1,950","2,107","1,885","1,799",0
